id,leccion,pregunta,opciones,respuesta_correcta
59,6,¿Cuál es el equilibrio ideal para un apologeta?,"[""Ganar toda discusi\u00f3n sin importar el m\u00e9todo"", ""Firmeza doctrinal con gracia en el trato"", ""Evitar hablar de doctrina"", ""Adaptar la verdad al oyente""]",Firmeza doctrinal con gracia en el trato
58,6,¿Qué actitud demuestra humildad en un apologeta?,"[""Reconocer cuando no sabe algo"", ""Tener siempre la \u00faltima palabra"", ""Hablar m\u00e1s que escuchar"", ""Usar lenguaje t\u00e9cnico para impresionar""]",Reconocer cuando no sabe algo
57,6,¿Qué significa que las palabras estén “sazonadas con sal” (Colosenses 4:6)?,"[""Que sean siempre directas y duras"", ""Que sean adaptadas para agradar"", ""Que sean edificantes y sabias"", ""Que sean complejas y t\u00e9cnicas""]",Que sean edificantes y sabias
56,6,¿Por qué es importante evitar discusiones inútiles?,"[""Porque son dif\u00edciles de ganar"", ""Porque requieren mucho estudio"", ""Porque no llaman la atenci\u00f3n de la gente"", ""Porque no edifican ni glorifican a Dios""]",Porque no edifican ni glorifican a Dios
55,6,¿Qué actitud debe mostrar el siervo del Señor según 2 Timoteo 2:24-25?,"[""Agresividad y firmeza"", ""Amabilidad y aptitud para ense\u00f1ar"", ""Silencio ante los incr\u00e9dulos"", ""Neutralidad total en temas doctrinales""]",Amabilidad y aptitud para enseñar
54,6,¿Quién convence realmente a las personas de la verdad del evangelio?,"[""El apologeta por su habilidad"", ""Las evidencias hist\u00f3ricas"", ""El Esp\u00edritu Santo"", ""El consenso cultural""]",El Espíritu Santo
53,6,¿Qué papel cumple la preparación intelectual en la apologética?,"[""Permite comprender y responder con conocimiento"", ""Garantiza que todos acepten el mensaje"", ""Sustituye la oraci\u00f3n y la fe"", ""Evita todo conflicto cultural""]",Permite comprender y responder con conocimiento
52,6,¿Qué factor es clave para la credibilidad del apologeta?,"[""Su habilidad para ganar debates"", ""Su formaci\u00f3n acad\u00e9mica exclusiva"", ""Su popularidad en redes"", ""Su car\u00e1cter cristiano""]",Su carácter cristiano
51,6,"Según 1 Pedro 3:15, ¿cómo debe presentarse la defensa de la fe?","[""Con mansedumbre y reverencia"", ""Con autoridad y dureza"", ""Con argumentos puramente filos\u00f3ficos"", ""Con pruebas cient\u00edficas \u00fanicamente""]",Con mansedumbre y reverencia
50,5,¿Cuál es la consecuencia de no basar la apologética en la Biblia?,"[""Mayor aceptaci\u00f3n cultural"", ""Reducci\u00f3n de controversias"", ""P\u00e9rdida de autoridad y verdad"", ""Uso m\u00e1s libre de argumentos filos\u00f3ficos""]",Pérdida de autoridad y verdad
49,5,¿Cuál es el papel del Espíritu Santo en la apologética bíblica?,"[""Inspirar confianza y guiar las palabras"", ""Proveer argumentos l\u00f3gicos"", ""Garantizar que todos acepten el mensaje"", ""Sustituir el estudio b\u00edblico""]",Inspirar confianza y guiar las palabras
48,5,¿Qué hizo Pablo para adaptar su mensaje sin comprometer la verdad?,"[""Cambi\u00f3 el contenido del evangelio"", ""Ajust\u00f3 su presentaci\u00f3n a la audiencia"", ""Us\u00f3 solo ejemplos culturales"", ""Evit\u00f3 temas pol\u00e9micos""]",Ajustó su presentación a la audiencia
47,5,¿Qué modelo mostró Jesús al usar la Escritura contra la tentación?,"[""Que es necesario estudiar apolog\u00e9tica avanzada"", ""Que se deben usar argumentos hist\u00f3ricos"", ""Que es mejor evitar la confrontaci\u00f3n"", ""Que la Palabra es suficiente y poderosa""]",Que la Palabra es suficiente y poderosa
46,5,¿Qué significa que la Biblia es inspirada?,"[""Que Dios la revel\u00f3 y gui\u00f3 su redacci\u00f3n"", ""Que fue escrita por personas creativas"", ""Que es simb\u00f3lica en su totalidad"", ""Que contiene errores humanos""]",Que Dios la reveló y guió su redacción
45,5,¿Qué principio práctico debe guiar toda apologética bíblica?,"[""Adaptar el mensaje a la cultura sin reservas"", ""Evitar el uso de la Biblia para no ofender"", ""Centrarse solo en la l\u00f3gica"", ""Basar todo en la Palabra de Dios""]",Basar todo en la Palabra de Dios
44,5,¿Cuál era la base del razonamiento de Pablo en Hechos 17?,"[""Experiencias personales"", ""Escrituras"", ""Ciencia"", ""Opiniones de fil\u00f3sofos""]",Escrituras
43,5,"Según Hebreos 4:12, la Palabra de Dios es…","[""Antiguo conocimiento"", ""Opini\u00f3n religiosa"", ""Viva y eficaz"", ""\u00datil solo para los creyentes""]",Viva y eficaz
42,5,¿Qué hizo Jesús durante la tentación en el desierto?,"[""Us\u00f3 par\u00e1bolas"", ""Guard\u00f3 silencio"", ""Cit\u00f3 las Escrituras"", ""Debati\u00f3 con argumentos filos\u00f3ficos""]",Citó las Escrituras
41,5,¿Qué pasaje enseña que toda la Escritura es inspirada por Dios?,"[""2 Timoteo 3:16-17"", ""Hebreos 4:12"", ""Hechos 17:2"", ""Mateo 4:4""]",2 Timoteo 3:16-17
40,4,¿Qué característica une a todos estos apologetas conservadores?,"[""Usar solo argumentos cient\u00edficos"", ""Defensa b\u00edblica y formaci\u00f3n de otros"", ""Evitar debates p\u00fablicos"", ""Enfoque exclusivamente en evangelismo""]",Defensa bíblica y formación de otros
39,4,¿Quién es reconocido por su trabajo enfocado en refutar sectas y responder preguntas doctrinales en internet?,"[""Frank Turek"", ""Matt Slick"", ""Lee Strobel"", ""Norman Geisler""]",Matt Slick
38,4,¿Cuál es la especialidad de Norman Geisler?,"[""Matem\u00e1ticas y ciencia"", ""Periodismo de investigaci\u00f3n"", ""Recursos online"", ""Filosof\u00eda y teolog\u00eda sistem\u00e1tica""]",Filosofía y teología sistemática
37,4,¿Qué apologeta fue periodista antes de dedicarse a la apologética?,"[""Lee Strobel"", ""John Lennox"", ""Norman Geisler"", ""Matt Slick""]",Lee Strobel
36,4,¿Qué apologeta combinaba filosofía y compasión pastoral en conferencias internacionales?,"[""Norman Geisler"", ""Ravi Zacharias"", ""Frank Turek"", ""John Lennox""]",Ravi Zacharias
35,4,¿Qué ministerio fundó Matt Slick?,"[""RZIM"", ""Reasonable Faith"", ""CARM.org"", ""Stand to Reason""]",CARM.org
34,4,¿Cuál de estos apologetas coescribió I Don’t Have Enough Faith to Be an Atheist?,"[""Frank Turek"", ""Lee Strobel"", ""Matt Slick"", ""William Lane Craig""]",Frank Turek
33,4,¿Qué apologeta es conocido por sus debates con Richard Dawkins?,"[""Ravi Zacharias"", ""Norman Geisler"", ""Lee Strobel"", ""John Lennox""]",John Lennox
32,4,¿Quién escribió The Case for Christ?,"[""Lee Strobel"", ""Matt Slick"", ""Frank Turek"", ""C.S. Lewis""]",Lee Strobel
31,4,¿Qué apologeta popularizó la frase “Ayudar al pensador a creer y al creyente a pensar”?,"[""Norman Geisler"", ""Ravi Zacharias"", ""John Lennox"", ""Frank Turek""]",Ravi Zacharias
30,3,¿Qué oportunidad surge del aumento de la migración y globalización?,"[""Di\u00e1logo intercultural"", ""Cierre de fronteras espirituales"", ""Homogeneidad cultural"", ""Exclusi\u00f3n religiosa""]",Diálogo intercultural
29,3,¿Cuál es la actitud correcta para un apologeta en el contexto actual?,"[""Responder con agresividad"", ""Evitar los temas pol\u00e9micos"", ""Adaptar el mensaje para evitar rechazo"", ""Responder con gracia y verdad""]",Responder con gracia y verdad
28,3,¿Qué grupo bíblico es ejemplo de discernimiento de los tiempos?,"[""Los levitas"", ""Los hijos de Isacar"", ""Los ap\u00f3stoles"", ""Los samaritanos""]",Los hijos de Isacar
27,3,¿Qué recurso moderno permite alcanzar audiencias globales a bajo costo?,"[""Prensa escrita"", ""Radio local"", ""Redes sociales"", ""Conferencias presenciales""]",Redes sociales
26,3,¿Cuál es una oportunidad para la apologética en el contexto actual?,"[""Creciente hambre de significado"", ""Mayor rechazo a la fe"", ""Exclusi\u00f3n de la vida p\u00fablica"", ""Aumento del relativismo moral""]",Creciente hambre de significado
25,3,¿Qué enseña el pluralismo religioso?,"[""Que solo Jes\u00fas salva"", ""Que no existe Dios"", ""Que la verdad es relativa"", ""Que todas las religiones llevan a Dios""]",Que todas las religiones llevan a Dios
24,3,¿Quién es un representante del nuevo ateísmo?,"[""Timothy Keller"", ""Richard Dawkins"", ""Lee Strobel"", ""Ravi Zacharias""]",Richard Dawkins
23,3,¿Qué corriente enseña que no hay normas morales universales?,"[""Relativismo moral"", ""Naturalismo"", ""De\u00edsmo"", ""Posmodernismo""]",Relativismo moral
22,3,¿Qué ideología relega la fe al ámbito privado y excluye a Dios de lo público?,"[""Relativismo"", ""Pluralismo"", ""Posmodernismo"", ""Secularismo""]",Secularismo
21,3,¿Qué característica principal del posmodernismo desafía la fe cristiana?,"[""Creencia en la verdad absoluta"", ""Defensa de la moral b\u00edblica"", ""Negaci\u00f3n de la verdad objetiva"", ""\u00c9nfasis en la autoridad de la Escritura""]",Negación de la verdad objetiva
20,2,¿Qué característica ha tenido siempre la apologética cristiana?,"[""Cambiar el mensaje seg\u00fan la cultura"", ""Usar solo argumentos filos\u00f3ficos"", ""Mantener el Evangelio adaptando el m\u00e9todo"", ""Evitar el di\u00e1logo interreligioso""]",Mantener el Evangelio adaptando el método
19,2,¿Qué apologeta combatió el maniqueísmo y escribió La Ciudad de Dios?,"[""Agust\u00edn de Hipona"", ""Justino M\u00e1rtir"", ""Mart\u00edn Lutero"", ""Tom\u00e1s de Aquino""]",Agustín de Hipona
18,2,¿Cuál es uno de los retos principales de la apologética actual?,"[""Relativismo moral"", ""Manique\u00edsmo"", ""Arrianismo"", ""Gnosticismo""]",Relativismo moral
17,2,¿En qué época surgió el diálogo apologético con el islam?,"[""Iglesia primitiva"", ""Edad Media"", ""Reforma"", ""\u00c9poca contempor\u00e1nea""]",Edad Media
16,2,¿Qué apologeta del siglo XX escribió Mero Cristianismo?,"[""Blaise Pascal"", ""John Lennox"", ""William Lane Craig"", ""C.S. Lewis""]",C.S. Lewis
15,2,¿Qué doctrina central defendieron Lutero y Calvino durante la Reforma?,"[""Predestinaci\u00f3n"", ""Sola Scriptura"", ""Bautismo infantil"", ""Infalibilidad papal""]",Sola Scriptura
14,2,¿Qué pensador integró fe y razón usando filosofía aristotélica?,"[""Tom\u00e1s de Aquino"", ""C.S. Lewis"", ""Juan Calvino"", ""Francis Schaeffer""]",Tomás de Aquino
13,2,¿Qué argumento propuso Anselmo de Canterbury?,"[""Cosmol\u00f3gico"", ""Teleol\u00f3gico"", ""Ontol\u00f3gico"", ""Moral""]",Ontológico
12,2,¿Qué herejía combatió principalmente Ireneo de Lyon?,"[""Pelagianismo"", ""Gnosticismo"", ""Arianismo"", ""Manique\u00edsmo""]",Gnosticismo
11,2,¿Quién fue uno de los primeros apologetas que dialogó con filósofos paganos?,"[""Mart\u00edn Lutero"", ""Anselmo de Canterbury"", ""Blaise Pascal"", ""Justino M\u00e1rtir""]",Justino Mártir
10,1,¿Cuál de estos no es un objetivo de la apologética?,"[""Fortalecer la fe del creyente"", ""Refutar falsas doctrinas"", ""Mostrar la superioridad personal del apologeta"", ""Ayudar al incr\u00e9dulo a comprender el evangelio""]",Mostrar la superioridad personal del apologeta
9,1,¿Por qué la apologética no es un “lujo” para eruditos?,"[""Porque todo creyente est\u00e1 llamado a defender su fe"", ""Porque es una especialidad opcional"", ""Porque es una moda moderna"", ""Porque es f\u00e1cil de aprender""]",Porque todo creyente está llamado a defender su fe
8,1,"En la Biblia, ¿quién es un ejemplo de apologética en acción ante filósofos y pensadores?","[""Pedro en Pentecost\u00e9s"", ""Pablo en el Are\u00f3pago"", ""Juan en Patmos"", ""Esteban ante el concilio""]",Pablo en el Areópago
7,1,¿Cuál de estas características es esencial en un apologeta cristiano?,"[""Conocimiento de idiomas b\u00edblicos"", ""Formaci\u00f3n universitaria"", ""Dominio de la l\u00f3gica formal"", ""Car\u00e1cter cristiano y humildad""]",Carácter cristiano y humildad
6,1,¿Qué pasaje enfatiza derribar argumentos contrarios al conocimiento de Dios?,"[""Hebreos 11:1"", ""Salmo 19:1"", ""Colosenses 2:8"", ""2 Corintios 10:4-5""]",2 Corintios 10:4-5
5,1,¿Cuál es la relación correcta entre evangelismo y apologética?,"[""Son lo mismo"", ""El evangelismo presenta el evangelio; la apolog\u00e9tica lo defiende"", ""La apolog\u00e9tica reemplaza al evangelismo"", ""La apolog\u00e9tica solo es para incr\u00e9dulos""]",El evangelismo presenta el evangelio; la apologética lo defiende
4,1,¿Qué pasaje habla de “contender ardientemente por la fe”?,"[""Judas 1:3"", ""2 Timoteo 4:2"", ""Mateo 28:19"", ""Efesios 6:10""]",Judas 1:3
3,1,¿Cuál de las siguientes no es una función principal de la apologética?,"[""Fortalecer la fe del creyente"", ""Defenderse de ataques doctrinales"", ""Ganar discusiones a cualquier costo"", ""Alcanzar a los incr\u00e9dulos""]",Ganar discusiones a cualquier costo
2,1,"Según 1 Pedro 3:15, ¿cómo debemos presentar defensa de nuestra fe?","[""Con autoridad y firmeza"", ""Con mansedumbre y reverencia"", ""Con argumentos filos\u00f3ficos \u00fanicamente"", ""Con pruebas cient\u00edficas""]",Con mansedumbre y reverencia
1,1,¿Qué significa “apologética” en su raíz griega?,"[""Pedir perd\u00f3n por creer"", ""Predicar el evangelio"", ""Defensa verbal o razonada"", ""Discusi\u00f3n filos\u00f3fica""]",Defensa verbal o razonada
